ID_star,ID_system,Name,,Karmn,GJ,RA_J2016,DE_J2016,SpT,SpTnum,SpT_ref,SKG,SKG_ref,Nplanet,Pl_Ref,Type,Class,Component,System,SB,SB_ref,object_type,Notes_multiplicity,WDS_id,WDS_disc,WDS_comp,WDS_obs1,WDS_obs2,WDS_nobs,WDS_pa2,WDS_sep2,WDS_mag1,WDS_mag2,s01,rho01,s02,rho02,theta01,theta02,M_Msol,eM_Msol,R_Rsol,eR_Rsol,MR_ref,M01,eM01,R01,eR01,M02,eM02,R02,eR02,q,Porb_d,ePorb_d,Porb_ref,a_au,a_ref,Teff_K,eTeff_K,Teff_ref,logg,elogg,L_Lsol,eL_Lsol,L_ref,MG_mag,eMG_mag,Mass_A,eMass_A,Mass_B,eMass_B,Mass_tot,eMass_tot,Ug_J,eUg_J,Porb_a,ePorb_a,muratio,deltaPA,deltad,crit_parity,crit_ruwe,crit_ipd,crit_rv,crit_rv_error,crit_fmp,crit_non_single,crit_DR3_non_single,Candidate,Bool_rho,Bool_new,HR_num,Bool_HR,Bool_MM,Bool_Lbol,Bool_DR2,Bool_FGK,Bool_WD,Bool_OBA,Bool_NMS,Bool_UCD,Bool_widest,GaiaDR3_id,GaiaDR2_id,2MASS_id,AllWISE_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_ref,d_pc,ed_pc,d01,ed01,d02,ed02,d03,ed03,d04,ed04,pm,pm_error,pm_ref,pmra,pmra_error,pmdec,pmdec_error,pmA,pmra_A_mas,epmra_A_mas,pmdec_A_mas,epmdec_A_mas,pmB,pmra_B_mas,epmra_B_mas,pmdec_B_mas,epmdec_B_mas,pmC,pmra_C_mas,epmra_C_mas,pmdec_C_mas,epmdec_C_mas,rv,rv_error,rv_ref,ruwe,l,b,RA_J2000,DE_J2000,BP_mag,eBP_mag,G_mag,eG_mag,RP_mag,eRP_mag,J_mag,eJ_mag,H_mag,eH_mag,Ks_mag,eKs_mag,Qf_2M,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,Qf_W,astrometric_excess_noise,astrometric_excess_noise_sig,phot_bp_rp_excess_factor,phot_bp_n_blended_transits,phot_rp_n_blended_transits,phot_variable_flag,rv_chisq_pvalue,rv_amplitude_robust,rv_nb_transits,rv_renormalised_gof,astrometric_n_obs_al,astrometric_n_good_obs_al,ipd_gof_harmonic_amplitude,ipd_frac_multi_peak,duplicated_source
127,,GJ 3068,,J01008+669,3068,01:00:48.83,+66:56:53.8,M3.5 V,73.5,2015ApJS..220...16T,,,0,,Single,,-,,,-,High proper motion,,,,,,,,,,,,,,,,,,0.35130,0.01500,0.35570,0.01080,This work,,,,,,,,,,,,,,,3300,50,This work,4.50,0.25,0.0135210010,0.0000714616,This work,10.3836,0.0030,,,,,,,,,,,,,,,False,False,False,False,False,0,,false,true,false,4,true,true,true,false,false,false,false,false,false,false,526058696910777984,526058696910777984,01004948+6656546,J010049.04+665654.1,15.203451656922600,0.014244308695197100,66.94828338360110,0.0161953903734684,44.317285187518900,0.020118538,DR3,22.564559082730800,0.010243541260217200,22.564559082730800,0.010243541260217200,,,,,,,242.477721063973,0.0274179676728147,DR3,-236.2347127462020,0.017486505,-54.668141600911600,0.021117933,242.477721063973,-236.234712746202,0.017486505,-54.6681416009116,0.021117933,,,,,,,,,,,-14.027532,0.4901622,DR3,1.2554857,123.85185990911200,4.093282070416740,15.206192,66.948517,13.6443,0.0034,12.1507,0.0028,10.9546,0.0039,9.408,0.029,8.726,0.031,8.484,0.023,AAA,8.268,0.023,8.135,0.020,8.034,0.022,8.165,0.247,AAAB,0.1839292347431180,46.993560791015600,1.4498475,0,0,NOT_AVAILABLE,0.049378518,7.405283,21,-1.7238302,408,404,0.01375324185937640,0,False
128,,GJ 1025,,J01009-044,1025,01:00:57.71,-04:26:49.5,M4.0 V,74.0,2015A&A...577A.128A,,,0,,Single,,-,,,-,High proper motion,PB in Vri20,,,,,,,,,,,,,,,,,0.22100,0.01150,0.23220,0.00730,This work,,,,,,,,,,,,,,,3200,50,This work,5.50,0.25,0.0050938106,0.0000350879,This work,11.5045,0.0030,,,,,,,,,,,,,,,False,False,False,False,False,0,,false,true,false,4,true,true,true,false,false,false,false,false,false,false,2525276565243086080,2525276565243086080,01005643-0426561,J010057.26-042651.8,15.240444011358900,0.03462472930550580,-4.447094086447560,0.01929464563727380,80.78778141194460,0.038493775,DR3,12.378109443319200,0.005897923566026490,12.378109443319200,0.005897923566026490,,,,,,,1323.94646264009,0.0648590632490696,DR3,1249.137993115820,0.047889203,438.7351252085700,0.04374154,1323.94646264009,1249.13799311582,0.047889203,438.73512520857,0.04374154,,,,,,,,,,,29.300804,0.37780827,DR3,1.5176783,129.06890895998200,-67.20529149746750,15.235159,-4.448930,13.5560,0.0032,11.9678,0.0028,10.7402,0.0038,9.042,0.032,8.485,0.047,8.224,0.021,AAA,8.037,0.023,7.857,0.021,7.745,0.020,7.779,0.190,AAAB,0.26853466033935500,96.23070526123050,1.4718647,9,0,NOT_AVAILABLE,0.14310293,7.5799236,29,-3.4033463,397,395,0.034750889986753500,1,False
129,,Wolf 44,,J01013+613,,01:01:20.86,+61:21:43.7,M2.0 V,72.0,2013AJ....145..102L,,,0,,Single,,-,,,-,High proper motion,,,,,,,,,,,,,,,,,,0.36950,0.01080,0.37300,0.00410,This work,,,,,,,,,,,,,,,3564,19,Marf21,5.00,0.25,0.0202203320,0.0000839615,This work,9.7340,0.0028,,,,,,,,,,,,,,,False,False,False,False,False,0,,false,true,false,4,true,true,true,false,false,false,false,false,false,false,426641955043723520,426641955043723520,01012006+6121560,J010120.55+612148.4,15.336900310600100,0.010723667219281200,61.36213773499950,0.012251876294612900,94.97013378459860,0.017161392,DR3,10.529626106119800,0.0019027354602912100,10.529626106119800,0.0019027354602912100,,,,,,,888.892782166839,0.0212639075509923,DR3,362.4915172244560,0.013505089,-811.6220044630480,0.016424565,888.892782166839,362.491517224456,0.013505089,-811.622004463048,0.016424565,,,,,,,,,,,6.9985495,0.1531898,DR3,1.0168166,124.1193928428000,-1.4867618661731900,15.333610,61.365574,11.0810,0.0031,9.8461,0.0028,8.7434,0.0038,7.272,0.021,6.710,0.018,6.483,0.018,AAA,6.322,0.097,6.103,0.038,6.135,0.015,6.037,0.043,AAAA,0.13219250738620800,25.161481857299800,1.3947519,0,0,NOT_AVAILABLE,0.58724684,1.3632178,17,-2.0708008,490,484,0.009724513627588750,1,False
130,,GJ 3069,,J01019+541,3069,01:01:58.94,+54:10:55.8,M5.0 V,75.0,2012ApJ...748...93R,UMa,This work,0,,Single*,,-,,,-,Eruptive variable,,,,,,,,,,,,,,,,,,0.14080,0.00820,0.15620,0.00140,This work,,,,,,,,,,,,,,,3070,13,Marf21,4.00,0.25,0.0019523449,0.0000081835,This work,12.9225,0.0029,,,,,,,,,,,,,,,False,False,True,False,False,0,,true,true,false,4,true,false,true,false,false,false,false,false,false,false,411311395692644224,411311395692644224,01015952+5410577,J010159.12+541056.4,15.495585706669300,0.014991159550845600,54.18217771927340,0.01619015820324420,90.01291497834790,0.025714919,DR3,11.109516898108900,0.003173770422085780,11.109516898108900,0.003173770422085780,,,,,,,325.642092811251,0.0279512334531266,DR3,-304.13454039362000,0.019989781,-116.38279060949300,0.019536635,325.642092811251,-304.13454039362,0.019989781,-116.382790609493,0.019536635,,,,,,,,,,,-7.1885324,1.8966777,DR3,1.1026826,124.49201819722200,-8.657628395894040,15.498025,54.182720,15.2896,0.0037,13.1510,0.0028,11.8070,0.0039,9.778,0.022,9.197,0.021,8.864,0.016,AAA,8.646,0.022,8.458,0.020,8.305,0.021,8.244,0.192,AAAB,0.1708153933286670,37.67691421508790,1.5526257,2,1,NOT_AVAILABLE,0.0,36.88405,24,10.416705,636,631,0.01456638053059580,0,False
131,,GJ 3072,,J01023-104,3072,01:02:21.16,-10:25:28.7,M0.0 V,70.0,2010MNRAS.403.1949K,,,1,Fen20,Single,,-,,,-,High proper motion,,,,,,,,,,,,,,,,,,0.6765,0.0261,0.6418,0.0118,This work,,,,,,,,,,,,,,,,,,,,,,,7.7625,0.0029,,,,,,,,,,,,,,,False,False,False,False,False,0,,false,true,false,4,true,false,true,false,false,false,false,false,false,false,2473055951588089088,2473055951588089088,01022113-1025256,J010221.15-102527.7,15.588177035541200,0.013665320351719900,-10.424645417428900,0.00986469816416502,47.3825056619637,0.017570898,DR3,21.104835762257900,0.007826325587991660,21.104835762257900,0.007826325587991660,,,,,,,178.832927090054,0.0270628481453325,DR3,26.087937256211700,0.020264473,-176.9198557011410,0.01793736,178.832927090054,26.0879372562117,0.020264473,-176.919855701141,0.01793736,,,,,,,,,,,8.84185,0.16873875,DR3,1.0579222,132.20026436257600,-73.0996806116478,15.588073,-10.423793,10.2252,0.0029,9.3844,0.0028,8.4857,0.0038,7.417,0.030,6.718,0.033,6.533,0.017,AAA,6.461,0.087,6.403,0.026,6.446,0.016,6.292,0.068,AAAA,0.08536915481090550,10.887557029724100,1.2973752,0,0,VARIABLE,0.0587409,2.3065324,25,0.4572601,435,429,0.016447782516479500,1,False
132,,Ross 318,,J01025+716,,01:02:38.16,+71:40:41.2,M3.0 V,73.0,2013AJ....145..102L,,,0,,Single,,-,,,-,Eruptive variable,,,,,,,,,,,,,,,,,,0.47220,0.01330,0.47030,0.00710,This work,,,,,,,,,,,,,,,3524,26,Marf21,5.00,0.25,0.0307278480,0.0001988388,This work,9.3641,0.0028,,,,,,,,,,,,,,,False,False,False,False,False,0,,false,true,false,4,true,true,true,false,false,false,false,false,false,false,533621859441169920,533621859441169920,01023213+7140475,J010235.99+714043.2,15.659011875595600,0.013044942170381500,71.67812049454080,0.013020374812185800,121.45982871489800,0.015784185,DR3,8.23317479186715,0.001069933618605770,8.23317479186715,0.001069933618605770,,,,,,,1787.93370584894,0.0239090467459446,DR3,1746.7010132181900,0.01672895,-381.76236971875400,0.017081708,1787.93370584894,1746.70101321819,0.01672895,-381.762369718754,0.017081708,,,,,,,,,,,1.3429941,0.15439215,DR3,1.0015539,123.82219329402500,8.825730161565180,15.633880,71.679878,10.2547,0.0033,8.9419,0.0028,7.7961,0.0039,6.301,0.034,5.699,0.049,5.449,0.017,AAA,5.404,0.085,5.044,0.067,5.171,0.015,5.029,0.031,AAAA,0.13793212175369300,23.76485252380370,1.4257362,1,0,NOT_AVAILABLE,0.13055201,0.8483218,12,-0.9286237,394,392,0.010436144657433000,0,False
133,33,Wolf 46,,J01026+623,,01:02:40.55,+62:20:43.6,M1.5 V,71.5,2015A&A...577A.128A,,,1,Per19,Multiple,Double,A,A+B,,-,High proper motion,CSN 3 AC is optical,,,,,,,,,,,,,,,,,0.53570,0.02860,0.51640,0.01290,This work,,,,,,,,,,,,,,,3791,19,Marf21,5.00,0.25,0.0487339200,0.0003213808,This work,8.7020,0.0028,0.5357,0.0286,,,0.7671,0.0310,,,,,,,,,False,False,False,False,False,0,,false,true,false,4,true,true,true,false,false,false,false,false,false,false,522863309964987520,522863309964987520,01023895+6220422,J010239.92+622043.1,15.668950820681100,0.011228092014789600,62.345451222893900,0.01186229195445780,101.42379529598400,0.016878147,DR3,9.859619205549450,0.001640759960023660,9.859619205549450,0.001640759960023660,9.864622012893730,0.0046662173117452600,,,,,736.672010632412,0.0217582443059065,DR3,731.0879947758530,0.013724243,90.53173556175590,0.016883908,736.672010632412,731.087994775853,0.013724243,90.5317355617559,0.016883908,735.439682534531,730.398009578876,0.03865989,85.9667043087498,0.045255948,,,,,,-6.2840915,0.1332864,DR3,1.0359348,124.2355456921560,-0.49785026773339100,15.662322,62.345066,9.7920,0.0030,8.6713,0.0028,7.6166,0.0038,6.230,0.021,5.582,0.024,5.371,0.020,AAA,5.302,0.223,5.076,0.085,5.185,0.015,5.086,0.028,BAAA,0.1139177680015560,17.647789001464800,1.3703461,1,0,NOT_AVAILABLE,0.029189792,1.1192722,25,1.2601179,448,447,0.00737876957282424,1,False
135,34,GJ 1026 A,,J01032+200,1026 A,01:03:14.92,+20:05:53.1,M2.0 V,72.0,1995AJ....110.1838R,,,0,,Multiple,Double,A,AB,,-,High proper motion,,,,,,,,,,,,,,,,,,0.4132,0.0313,0.4063,0.0141,This work,,,,,,,,,,,,,,,,,,,,,,,9.6524,0.0030,0.4132,0.0313,,,0.7172,0.0465,,,,,,,,,False,False,False,False,False,0,,false,true,false,4,true,false,true,false,false,false,false,false,false,false,2788769028896753664,2788769028896753664,01031408+2005523,J010314.71+200553.4,15.812158488357500,0.02319151908159260,20.098082809316500,0.019495489075779900,62.76521363604780,0.026924904,DR3,15.932392197350400,0.006834647817682800,15.932392197350400,0.006834647817682800,15.932316268445500,0.029542844684450500,,,,,674.092398485144,0.0410217179845382,DR3,672.1632750180220,0.031149184,50.96168573056730,0.026692877,674.092398485144,672.163275018022,0.031149184,50.9616857305673,0.026692877,676.828040528638,676.281975433637,0.13360444,27.1824603267014,0.10928539,,,,,,21.02369,0.33871385,DR3,1.3694594,126.70525570173000,-42.68711897169060,15.808692,20.097879,11.8841,0.0038,10.6638,0.0028,9.5538,0.0041,7.670,0.029,7.088,0.029,6.832,0.018,AAA,6.588,0.065,6.428,0.023,6.423,0.015,6.329,0.056,AAAA,0.17590217292308800,28.81684112548830,1.4057751,0,0,NOT_AVAILABLE,0.7705559,1.4182129,11,-0.73446125,212,211,0.026092419400811200,0,False
142,,StKM 1-112,,J01041+108,,01:04:11.07,+10:51:35.4,M1.0 V,71.0,2013AJ....145..102L,,,0,,Single,,-,,,-,High proper motion,,,,,,,,,,,,,,,,,,0.56450,0.02800,0.54220,0.01260,This work,,,,,,,,,,,,,,,3700,50,This work,5.00,0.25,0.0538491230,0.0003951567,This work,8.4984,0.0043,,,,,,,,,,,,,,,False,False,False,False,False,0,,false,true,false,4,true,true,true,false,false,false,false,false,false,false,2583182211591974144,2583182207296215936,01041103+1051363,J010411.05+105135.7,16.046111370493900,0.03592296317219730,10.859826509811000,0.025341320782899900,28.680761890760000,0.04334842,DR3,34.86657724815070,0.052697729588634400,34.86657724815070,0.052697729588634400,,,,,,,71.9657248877497,0.0685957654538798,DR3,25.05114291929800,0.056028485,-67.46484860322580,0.039575092,71.9657248877497,25.051142919298,0.056028485,-67.4648486032258,0.039575092,,,,,,,,,,,5.8218827,0.23959574,DR3,1.617423,128.00631954592400,-51.8862916166512,16.045995,10.860101,12.2404,0.0029,11.2104,0.0028,10.2028,0.0038,8.918,0.032,8.288,0.034,8.056,0.016,AAA,7.956,0.024,7.935,0.020,7.867,0.020,7.587,0.137,AAAB,0.340986967086792,210.05181884765600,1.3456101,0,0,VARIABLE,0.04405305,3.7627425,29,1.5592002,482,474,0.009579725563526150,0,False
143,,GJ 1028,,J01048-181,1028,01:04:55.25,-18:07:20.8,dM5.0,75.0,2019A&A...625A..68S,,,0,,Single,,-,,,-,High proper motion,,,,,,,,,,,,,,,,,,0.13680,0.00900,0.15250,0.00390,This work,,,,,,,,,,,,,,,3209,41,Marf21,4.50,0.25,0.0022210677,0.0000157215,This work,12.7462,0.0029,,,,,,,,,,,,,,,False,False,False,False,False,0,,false,true,false,4,true,true,true,false,false,false,false,false,false,false,2358022227591374336,2358022227591374336,01045368-1807292,J010454.77-180723.3,16.23022246917640,0.026073090732097600,-18.122448954793800,0.022163597866892800,102.28274631661300,0.035804268,DR3,9.77682000153312,0.003422394256398610,9.77682000153312,0.003422394256398610,,,,,,,1381.30188806301,0.0659253802999037,DR3,1292.1878660323300,0.043798823,488.1039078364900,0.049272902,1381.30188806301,1292.18786603233,0.043798823,488.10390783649,0.049272902,,,,,,,,,,,12.490268,0.4039853,DR3,1.1534077,142.6648204158280,-80.47350701746130,16.223688,-18.124802,14.7776,0.0036,12.6972,0.0028,11.3576,0.0039,9.387,0.026,8.753,0.049,8.453,0.024,AAA,8.222,0.022,8.029,0.020,7.867,0.020,7.588,0.129,AAAB,0.26176655292511000,77.45272827148440,1.5523654,1,0,NOT_AVAILABLE,0.42106077,6.8894787,26,-2.1238842,370,370,0.00907247792929411,2,False
144,38,GJ 1029,,J01056+284,1029,01:05:39.97,+28:29:30.6,M5.5 V,75.5,2015ApJS..220...16T,,,0,,Multiple,Double,Aab,Aab,SB2,Bar18 / Win20a,Spectroscopic binary,,,,,,,,,,,,0.1331,,,,,,0.03430,0.00162,,,Win20a,0.01991,0.00150,,,0.01439,0.00061,,,0.7228,95.76,0.18,Win20a,0.1331,Win20a,,,,,,,,,12.4629,0.0075,0.0343,0.0016,,,,,,,,,,,,,True,False,False,False,False,1,nss_two_body_orbit,false,true,false,4,true,false,true,false,false,false,false,false,false,false,308256610357824640,308256610357824640,01053732+2829339,J010539.17+282931.6,16.41654124373290,0.2070506513118740,28.491827062343300,0.18811535835266100,79.92625234127840,0.2547965,DR3,12.511533703971100,0.039885455704739100,12.511533703971100,0.039885455704739100,,,,,,,1926.77238999859,0.344321348367803,DR3,1917.6506594295300,0.2629171,-187.26396142979100,0.22233261,1926.77238999859,1917.65065942953,0.2629171,-187.263961429791,0.22233261,,,,,,,,,,,19.874,3.071,2015ApJS..220...16T,7.5190654,126.71548458048700,-34.27537432780260,16.405507,28.492773,15.1110,0.0038,12.9495,0.0029,11.5964,0.0039,9.486,0.025,8.881,0.034,8.550,0.020,AAA,8.332,0.023,8.160,0.020,7.978,0.019,8.098,0.171,AAAB,2.2197072505950900,4490.2158203125,1.5626792,2,0,NOT_AVAILABLE,,,,,320,320,0.004188555292785170,0,False
145,,GJ 1030,,J01066+152,1030,01:06:41.39,+15:16:18.1,M2.0 V,72.0,1995AJ....110.1838R,,,0,,Single,,-,,,-,High proper motion,,,,,,,,,,,,,,,,,,0.52500,0.02880,0.50690,0.01300,This work,,,,,,,,,,,,,,,3500,50,This work,5.50,0.25,0.0475811400,0.0003060063,This work,8.7788,0.0035,,,,,,,,,,,,,,,False,False,False,False,False,0,,false,true,false,4,true,true,true,false,false,false,false,false,false,false,2783324526489670144,2783324526489429504,01064151+1516229,J010641.43+151619.4,16.67246610903660,0.034844521433115000,15.271685972640400,0.02839355729520320,44.98350642582910,0.041070614,DR3,22.23037018354380,0.020296660385754000,22.23037018354380,0.020296660385754000,,,,,,,273.609661538989,0.0613867188956815,DR3,-107.9069356105360,0.049334303,-251.43257572284400,0.036530204,273.609661538989,-107.906935610536,0.049334303,-251.432575722844,0.036530204,,,,,,,,,,,16.369905,0.19257616,DR3,1.1327,128.3743871512870,-47.43882648629390,16.672992,15.273035,11.6791,0.0045,10.5135,0.0029,9.4319,0.0044,8.005,0.039,7.372,0.020,7.159,0.023,AAA,6.956,0.055,6.967,0.020,6.913,0.016,6.885,0.083,AAAA,0.29628264904022200,97.30072021484380,1.387771,0,2,NOT_AVAILABLE,0.23837405,1.5217638,14,-0.025518797,236,234,0.040904611349105800,0,False
146,,LSPM J0106+1913,,J01066+192,,01:06:36.93,+19:13:29.6,M3.0 V,73.0,This work,,,2,Cha22,Single,,-,,,-,High proper motion,,,,,,,,,,,,,,,,,,0.34070,0.01100,0.34560,0.00500,This work,,,,,,,,,,,,,,,3496,25,Marf21,5.50,0.25,0.0160768260,0.0000794352,This work,10.1394,0.0034,,,,,,,,,,,,,,,False,False,False,False,False,0,,false,true,false,4,true,true,true,false,false,false,false,false,false,false,2785466581298775680,2785466581298775680,01063697+1913336,J010636.94+191330.8,16.65386629207730,0.029574740678072000,19.224888539622900,0.023982614278793300,40.451580634390700,0.035940945,DR3,24.72091286217460,0.021964357278386300,24.72091286217460,0.021964357278386300,,,,,,,226.72675122297,0.0562768463072867,DR3,-42.06666583479150,0.046628233,-222.79007012357300,0.031510178,226.72675122297,-42.0666658347915,0.046628233,-222.790070123573,0.031510178,,,,,,,,,,,10.846833,0.26130655,DR3,1.6246929,127.873755707434,-43.50117931713180,16.654067,19.226002,13.5294,0.0038,12.1047,0.0028,10.9333,0.0040,9.343,0.021,8.782,0.021,8.497,0.017,AAA,8.335,0.023,8.199,0.020,8.096,0.020,8.047,0.189,AAAB,0.2221408486366270,54.05743408203130,1.4333986,0,0,NOT_AVAILABLE,0.9815797,2.142518,12,-2.2413633,204,202,0.03752876818180080,0,False
147,,LP 12-502,,J01069+804,,01:06:56.00,+80:27:34.0,M4.5 V,74.5,2015A&A...577A.128A,,,0,,Single*,,-,,,-,High proper motion,,,,,,,,,,,,,,,,,,0.35990,0.01580,0.36390,0.01180,This work,,,,,,,,,,,,,,,3100,50,This work,4.50,0.25,0.0110158170,0.0000609183,This work,10.8273,0.0032,,,,,,,,,,,,,,,False,False,True,False,False,0,,true,true,false,4,true,false,true,false,false,false,false,false,false,false,565706429072383232,565706429072383232,01065474+8027344,J010655.53+802734.2,16.73334799010600,0.023977993056178100,80.4594551063459,0.02311433106660840,46.93058593627980,0.027604628,DR3,21.3080655195261,0.012533430178450700,21.3080655195261,0.012533430178450700,,,,,,,208.204285480048,0.0412765225885606,DR3,206.66662783138000,0.029185673,-25.25726495610690,0.029188145,208.204285480048,206.66662783138,0.029185673,-25.2572649561069,0.029188145,,,,,,,,,,,-12.327255,2.2616026,DR3,1.4839835,123.6050593732350,17.60796385027110,16.728103,80.459564,14.2386,0.0049,12.4700,0.0029,11.1969,0.0045,9.350,0.023,8.773,0.031,8.523,0.022,AAA,8.312,0.023,8.114,0.020,7.960,0.019,7.791,0.131,AAAB,0.2549017369747160,71.02777862548830,1.5020198,2,0,NOT_AVAILABLE,0.0,37.42528,21,5.7169733,333,331,0.005614164285361770,0,False
148,,G 2-21,,J01078+128,,01:07:52.53,+12:52:51.4,M1.5 V,71.5,2013AJ....145..102L,,,0,,Single,,-,,,-,High proper motion,,,,,,,,,,,,,,,,,,0.50160,0.02930,0.48590,0.01320,This work,,,,,,,,,,,,,,,3600,50,This work,4.50,0.25,0.0394168940,0.0001707712,This work,8.9513,0.0033,,,,,,,,,,,,,,,False,False,False,False,False,0,,false,true,false,4,true,true,true,false,false,false,false,false,false,false,2584622022068408576,2584622022068408576,01075217+1252518,J010752.42+125251.6,16.968885445912800,0.02487861178815370,12.88095166744940,0.018772993236780200,35.230516262394700,0.02819187,DR3,28.38448328579870,0.022713594568143200,28.38448328579870,0.022713594568143200,,,,,,,276.815816788533,0.0438193910623521,DR3,275.8608746707790,0.035866536,-22.973337810935100,0.025174007,276.815816788533,275.860874670779,0.035866536,-22.9733378109351,0.025174007,,,,,,,,,,,13.940455,0.25602219,DR3,1.2256856,129.1442337496910,-49.79242188010000,16.967416,12.881077,12.3565,0.0033,11.2167,0.0028,10.1553,0.0039,8.787,0.020,8.175,0.017,7.954,0.024,AAA,7.813,0.025,7.752,0.019,7.679,0.018,7.593,0.155,AAAB,0.19729149341583300,46.75627899169920,1.3726085,0,0,NOT_AVAILABLE,0.2811541,2.7783213,17,0.43562108,240,239,0.015819555148482300,0,False
149,,LP 707-16,,J01102-118,,01:10:17.75,-11:51:19.3,M3.0 V,73.0,2005A&A...442..211S,,,0,,Single*,,-,,,-,High proper motion,,,,,,,,,,,,,,,,,,0.41010,0.01680,0.41140,0.01260,This work,,,,,,,,,,,,,,,3300,50,This work,4.50,0.25,0.0180859380,0.0001416174,This work,10.0864,0.0038,,,,,,,,,,,,,,,True,False,False,False,False,0,,true,true,false,4,true,false,true,false,false,false,false,false,false,false,2468929243931522304,2468929239634877824,01101752-1151175,J011017.67-115118.6,17.57395028608210,0.05062100663781170,-11.855370704147900,0.039237719029188200,54.35011751131770,0.06048347,DR3,18.399224248075700,0.020475556977407100,18.399224248075700,0.020475556977407100,,,,,,,248.871491984563,0.117872307037564,DR3,217.81856838860700,0.08111547,-120.38310009199900,0.08552287,248.871491984563,217.818568388607,0.08111547,-120.383100091999,0.08552287,,,,,,,,,,,-8.53181,0.24099797,DR3,2.0412705,140.00474490063300,-74.09874567209700,17.573020,-11.854878,12.8913,0.0029,11.4104,0.0029,10.2152,0.0038,8.625,0.043,7.928,0.033,7.656,0.021,AAA,7.498,0.031,7.406,0.021,7.301,0.019,7.133,0.111,AAAB,0.460044801235199,425.32550048828100,1.4509987,27,0,NOT_AVAILABLE,0.5741484,4.081316,29,-1.9649985,449,447,0.040371548384428000,0,False
151,,LP 467-15,,J01116+120,,01:11:36.66,+12:05:02.3,M2.0 V,72.0,2013AJ....145..102L,beta Pic,Alo15b,0,,Single,,-,,,-,High proper motion,LDS 3242 is optical (12 mas),,,,,,,,,,,,,,,,,0.36180,0.01480,0.36570,0.01050,This work,,,,,,,,,,,,,,,3500,50,This work,5.50,0.25,0.0180758650,0.0000780719,This work,9.8022,0.0031,,,,,,,,,,,,,,,False,False,False,False,False,0,,false,true,false,4,true,true,true,false,false,false,false,false,false,false,2583721522045243008,2583721522045243008,01113666+1205074,J011136.66+120503.9,17.902768885768000,0.026435809209942800,12.083985014498000,0.021590691059827800,48.79029109774310,0.032288365,DR3,20.495880993959800,0.013563733104272200,20.495880993959800,0.013563733104272200,,,,,,,292.917998231909,0.0445088605427608,DR3,-0.8172568954943210,0.034332417,-292.9168581344460,0.028325321,292.917998231909,-0.817256895494321,0.034332417,-292.916858134446,0.028325321,,,,,,,,,,,27.95519,0.22383285,DR3,1.5206078,130.69597046819100,-50.48340528677910,17.902768,12.085402,12.5334,0.0029,11.3605,0.0028,10.2870,0.0038,8.914,0.022,8.324,0.021,8.087,0.019,AAA,7.952,0.023,7.812,0.020,7.723,0.018,7.607,0.123,AAAB,0.22364333271980300,72.2852554321289,1.3776957,0,0,VARIABLE,0.85994434,1.8142624,15,-1.1980687,276,272,0.009312824346125130,0,False
154,,V*YZCet,,J01125-169,,01:12:31.98,-16:59:46.2,M4.0 Ve,74.0,2015AJ....149..106D,,,3,Ast17b,Single,,-,,,-,Eruptive variable,,,,,,,,,,,,,,,,,,0.13730,0.00930,0.15290,0.00440,This work,,,,,,,,,,,,,,,3228,46,Marf21,4.00,0.25,0.0022882298,0.0000117389,This work,12.5857,0.0028,,,,,,,,,,,,,,,False,False,False,False,False,0,,false,true,false,4,true,true,true,false,false,false,false,false,false,false,2358524597030794112,2358524597030794112,01123052-1659570,J011231.51-165949.5,18.13325425370940,0.024294445291161500,-16.996154872479200,0.022301021963357900,269.05730465038900,0.03366602,DR3,3.716680360339570,0.00046505273479709700,3.716680360339570,0.00046505273479709700,,,,,,,1363.33053266345,0.0660848108635113,DR3,1205.074450317740,0.04133712,637.5466339679100,0.051560108,1363.33053266345,1205.07445031774,0.04133712,637.54663396791,0.051560108,,,,,,,,,,,28.27,0.0008,2018MNRAS.475.1960F,1.0011495,149.72409200141000,-78.75488336509210,18.127191,-16.999178,12.3317,0.0035,10.4365,0.0028,9.1346,0.0039,7.258,0.020,6.749,0.033,6.420,0.017,AAA,6.164,0.081,5.914,0.039,5.812,0.020,5.705,0.041,AAAA,0.22422420978546100,62.23157501220700,1.5228753,4,0,NOT_AVAILABLE,,,,,356,356,0.009362990967929360,3,False
